CORRW ASCII
  CorrWare for Windows: Version 3.3c
  Cyclic Voltammogram	[0 OC;0,8 Ref;-0,6 Ref;0 OC;50mV/S,x5][custom]	2022_12_15_Characterisation_50mVs_5Scans_06_08V_W239_E15_Ch7.cor (append)
  Date: 12-15-2022    Time: 16:15:14


4.6909E-02	-1.6911E-08	2.611000E+01
2.2644E-02	-1.7503E-08	2.657000E+01
6.7300E-04	-1.8051E-08	2.702000E+01
-2.0804E-02	-1.8589E-08	2.746000E+01
-4.2610E-02	-1.9113E-08	2.790000E+01
-6.3922E-02	-1.9602E-08	2.833000E+01
-8.5398E-02	-2.0026E-08	2.877000E+01
-1.0736E-01	-2.0405E-08	2.924000E+01
-1.3163E-01	-2.0710E-08	2.971000E+01
-1.5359E-01	-2.0903E-08	3.016000E+01
-1.7490E-01	-2.1049E-08	3.059000E+01
-2.2616E-01	-2.1406E-08	3.164000E+01
-2.6958E-01	-2.2092E-08	3.252000E+01
-2.9155E-01	-2.2651E-08	3.297000E+01
-3.1285E-01	-2.3329E-08	3.340000E+01
-3.3414E-01	-2.4103E-08	3.383000E+01
-3.5888E-01	-2.5121E-08	3.434000E+01
-3.8036E-01	-2.6034E-08	3.477000E+01
-4.2378E-01	-2.7741E-08	3.566000E+01
-4.4556E-01	-2.8311E-08	3.610000E+01
-4.6686E-01	-2.8818E-08	3.653000E+01
-4.8882E-01	-2.8976E-08	3.700000E+01
-5.1290E-01	-2.8894E-08	3.747000E+01
-5.3486E-01	-2.8523E-08	3.792000E+01
-5.5615E-01	-2.8090E-08	3.835000E+01
-5.7745E-01	-2.8021E-08	3.878000E+01
-5.9358E-01	-1.9723E-08	3.923000E+01
-5.7308E-01	-5.3714E-09	3.973000E+01
-5.5096E-01	-1.8346E-09	4.017000E+01
-5.2936E-01	1.8846E-10	4.061000E+01
-5.0728E-01	1.4146E-09	4.106000E+01
-4.8585E-01	2.3745E-09	4.149000E+01
-4.6393E-01	2.9130E-09	4.193000E+01
-4.3875E-01	3.6768E-09	4.245000E+01
-4.1670E-01	3.8476E-09	4.289000E+01
-3.9531E-01	4.3845E-09	4.333000E+01
-3.7358E-01	4.9999E-09	4.376000E+01
-3.5155E-01	5.8321E-09	4.421000E+01
-3.3016E-01	6.8390E-09	4.464000E+01
-3.0828E-01	8.1298E-09	4.509000E+01
-2.6306E-01	1.1154E-08	4.600000E+01
-2.4170E-01	1.2715E-08	4.644000E+01
-2.2017E-01	1.4278E-08	4.687000E+01
-1.9815E-01	1.5822E-08	4.732000E+01
-1.7679E-01	1.7256E-08	4.775000E+01
-1.5494E-01	1.8620E-08	4.820000E+01
-1.3000E-01	1.9989E-08	4.870000E+01
-8.6795E-02	2.1979E-08	4.958000E+01
-6.4789E-02	2.2703E-08	5.003000E+01
-4.3275E-02	2.3333E-08	5.047000E+01
-2.1432E-02	2.3775E-08	5.091000E+01
4.0184E-03	2.3940E-08	5.143000E+01
2.5532E-02	2.4041E-08	5.186000E+01
4.7533E-02	2.3990E-08	5.231000E+01
6.8881E-02	2.3869E-08	5.274000E+01
9.0715E-02	2.3692E-08	5.319000E+01
1.1501E-01	2.3565E-08	5.368000E+01
1.3701E-01	2.3511E-08	5.413000E+01
1.5852E-01	2.3527E-08	5.456000E+01
1.8035E-01	2.3622E-08	5.501000E+01
2.2836E-01	2.4010E-08	5.598000E+01
2.7121E-01	2.4321E-08	5.685000E+01
2.9303E-01	2.4488E-08	5.729000E+01
3.1436E-01	2.4449E-08	5.773000E+01
3.3634E-01	2.4482E-08	5.817000E+01
3.6079E-01	2.4429E-08	5.867000E+01
3.8277E-01	2.4376E-08	5.912000E+01
4.0411E-01	2.4355E-08	5.955000E+01
4.2593E-01	2.4419E-08	5.999000E+01
4.4726E-01	2.4657E-08	6.043000E+01
4.6874E-01	2.5117E-08	6.086000E+01
4.9367E-01	2.5887E-08	6.137000E+01
5.1500E-01	2.6998E-08	6.180000E+01
5.3681E-01	2.8353E-08	6.225000E+01
5.5813E-01	3.0015E-08	6.268000E+01
5.8010E-01	3.2336E-08	6.313000E+01
6.0438E-01	3.6394E-08	6.362000E+01
6.2635E-01	4.2098E-08	6.407000E+01
6.4769E-01	4.8694E-08	6.450000E+01
6.6949E-01	5.4659E-08	6.494000E+01
7.1245E-01	6.2285E-08	6.583000E+01
7.3638E-01	6.6150E-08	6.631000E+01
7.5788E-01	7.1313E-08	6.674000E+01
7.7968E-01	8.0720E-08	6.719000E+01
7.9685E-01	8.0532E-08	6.762000E+01
7.8012E-01	4.5222E-08	6.807000E+01
7.5868E-01	3.2778E-08	6.850000E+01
7.3674E-01	2.6869E-08	6.895000E+01
7.1235E-01	2.3406E-08	6.944000E+01
6.9030E-01	2.1449E-08	6.989000E+01
6.6874E-01	1.9659E-08	7.032000E+01
6.4736E-01	1.7150E-08	7.076000E+01
6.2549E-01	1.3084E-08	7.120000E+01
6.0413E-01	7.5929E-09	7.163000E+01
5.7932E-01	6.0691E-10	7.214000E+01
5.5778E-01	-4.6076E-09	7.257000E+01
5.3575E-01	-8.5251E-09	7.302000E+01
5.1439E-01	-1.1064E-08	7.345000E+01
4.9255E-01	-1.2863E-08	7.389000E+01
4.7118E-01	-1.3742E-08	7.433000E+01
4.4686E-01	-1.4579E-08	7.482000E+01
4.0350E-01	-1.4897E-08	7.570000E+01
3.8167E-01	-1.5026E-08	7.614000E+01
3.6032E-01	-1.4929E-08	7.658000E+01
3.3553E-01	-1.4790E-08	7.708000E+01
3.1403E-01	-1.4759E-08	7.752000E+01
2.9204E-01	-1.4679E-08	7.796000E+01
2.7069E-01	-1.4582E-08	7.840000E+01
2.4936E-01	-1.4537E-08	7.883000E+01
2.2458E-01	-1.4591E-08	7.933000E+01
2.0309E-01	-1.4665E-08	7.977000E+01
1.8110E-01	-1.4791E-08	8.022000E+01
1.5976E-01	-1.4985E-08	8.065000E+01
1.3578E-01	-1.5279E-08	8.113000E+01
9.0182E-02	-1.6079E-08	8.206000E+01
6.8691E-02	-1.6523E-08	8.250000E+01
4.6879E-02	-1.7081E-08	8.294000E+01
2.5559E-02	-1.7629E-08	8.338000E+01
3.9060E-03	-1.8188E-08	8.381000E+01
-2.1021E-02	-1.8812E-08	8.432000E+01
-4.2338E-02	-1.9408E-08	8.475000E+01
-8.7106E-02	-2.0360E-08	8.566000E+01
-1.0908E-01	-2.0664E-08	8.613000E+01
-1.3269E-01	-2.0916E-08	8.659000E+01
-1.5466E-01	-2.1066E-08	8.704000E+01
-1.7614E-01	-2.1161E-08	8.747000E+01
-1.9811E-01	-2.1232E-08	8.792000E+01
-2.2725E-01	-2.1422E-08	8.853000E+01
-2.7117E-01	-2.2082E-08	8.941000E+01
-2.9248E-01	-2.2616E-08	8.985000E+01
-3.1427E-01	-2.3293E-08	9.029000E+01
-3.3575E-01	-2.4062E-08	9.072000E+01
-3.5770E-01	-2.4929E-08	9.119000E+01
